rank,manga_name,autors,chapters_published,status,reading_type
336,D.Gray-Man,"Hoshino, Katsura",253e,Ongoing,Right to Left
337,Saihate no Paladin,YANAGINO Kanata,68b,Ongoing,Right to Left
338,Holy Ancestor,Ao Tian Wu Hen,258,Ongoing,Left to Right
339,Shishidou-san ni Shikararetai,Mogeki Yasunobu,23,Ongoing,Right to Left
340,White Epic,No Sensei,107,Ongoing,Right to Left
341,Boruto Oneshot,Kishimoto Masashi,1,Ongoing,Right to Left
342,Kamitachi ni Hirowareta Otoko,Roy,58e,Ongoing,Right to Left
343,Yamikin Ushijima-kun,MANABE Shohei,128,Ongoing,Manga
344,"Moto Saikyou no Kenshi wa, Isekai Mahou ni Akogareru",Kouzuki Shin,48,Ongoing,Right to Left
345,Full Metal Alchemist,Arakawa Hiromu,108,Ongoing,Right to Left
346,Marry Grave,Yamaji Hidenori,52,Ongoing,Right to Left
